,title,description,release_date,genres,actors,duration,country,productions
254,Guiding Emily,"Emily's life changes after losing her eyesight, while a guide dog struggles with training. Through a series of missed encounters both overcome their obstacles and find each other.",2023-09-08,"['TV Movie', 'Comedy', 'Drama', 'Romance']","['Sarah Drew', 'Antonio Cupo', 'Eric McCormack', 'Sharon Taylor', 'Christine Willes']",84,Canada,"['Front Street Pictures', 'Beth Grossbard Productions']"
255,Fourth Down and Love,Sparks are reignited when a single mom and a pro football player coincidentally meet again on her daughter’s flag football field after his career is derailed by a injury.,2023-09-09,"['TV Movie', 'Comedy', 'Romance']","['Pascale Hutton', 'Ryan Paevey', 'Darlene Tait', 'Sophia Powers', 'Dan Payne']",84,"Canada, ","['Fourth Down Productions', 'Timeless Pictures', 'Basset Hound Distribution']"
256,Stane,"On the day of an inauguration to head the family business Stane confronts marriage, love and patriarchy.",2023-09-03,['Drama'],"['Danica Curcic', 'Alban Ukaj', 'Boris Isaković', 'Jasna Đuričić', 'Tom Rushaidat']",20,"Croatia, ","['Hi! Production', 'Eclectica Ellectrica', 'Miu Miu']"
257,Afire,"A seaside vacation takes an unexpected turn when Leon and Felix show up at Felix's family's holiday home to discover Nadja, a mysterious woman, already there. As an ever-encroaching forest fire threatens their well-being, relationships are tested and romances are kindled.",2023-04-20,"['Drama', 'Romance']","['Thomas Schubert', 'Paula Beer', 'Langston Uibel', 'Enno Trebs', 'Matthias Brandt']",103,Germany,"['Schramm Film', 'ZDF', 'Schramm Film Koerner & Weber']"
258,Us Or Them,"While enjoying a luxury holiday won on a mobile game app, childhood best friends Jude and Andy agree to play another game despite the foreboding caveat that once the game begins, they must play to the end.",2023-09-08,"['Action', 'Thriller']","['Malin Åkerman', 'Jack Donnelly', 'Wayne Gordon', 'Nicole Bartlett', 'Celine Arden']",86,                ,"['Sherbone Media', 'MSR Media', 'Highfield Grange Studios']"
259,Thirst,"Insomnia spreads in a small town, causing fear and panic. As the situation becomes dire, two couples find salvation on an abandoned ranch, but as nefarious characters descend upon the land, claiming it as their own, and chaos ensues.",2023-09-05,['Thriller'],"['Brian Cogley', 'Cynthia Fray', 'Amelia Glazner', 'Michael Gmur', 'P. Michael Hayes II']",98,United States of America,[]
260,The Nun II,"Set four years after the ending of the the nun, this follows Sister Irene as she investigates a murder at a boarding school in France. While investigating she is once again forced to face the demonic force Valak, the Nun.",2023-09-06,"['Horror', 'Mystery', 'Thriller']","['Taissa Farmiga', 'Jonas Bloquet', 'Bonnie Aarons', 'Storm Reid', 'Katelyn Rose Downey']",110,United States of America,"['New Line Cinema', 'Atomic Monster', 'The Safran Company']"
261,Landscape with Invisible Hand,"Years into a benevolent alien occupation, mankind is still adjusting to its new overlords. Their technology initially held promise for global prosperity, but rendered most human jobs – and steady income – obsolete. When two teenagers discover the aliens are fascinated with human love and will pay for access to it, they decide to livestream their romance to make extra cash for their families.",2023-08-18,"['Science Fiction', 'Comedy', 'Drama']","['Asante Blackk', 'Kylie Rogers', 'Tiffany Haddish', 'Brooklynn MacKinzie', 'Josh Hamilton']",105,United States of America,"['Plan B Entertainment', 'Annapurna Pictures', 'Metro-Goldwyn-Mayer']"
262,Sitting in Bars with Cake,"Extrovert Corinne convinces Jane, a shy, talented baker, to commit to a year of bringing cakes to bars, to help her meet people and build confidence. But when Corinne receives a life-altering diagnosis, the pair faces a challenge unlike anything they've experienced before.",2023-09-07,"['Romance', 'Comedy']","['Yara Shahidi', ""Odessa A'zion"", 'Bette Midler', 'Ron Livingston', 'Maia Mitchell']",120,United States of America,"['Resonate Entertainment', 'All Night Diner', 'Amazon Studios']"
263,Sirona,"Deep in the Rocky Mountains of Colorado, a government blacksite going by the name Valkyrie, conducts their twisted human experiments trying to push the boundaries of human evolution. Their operation becomes compromised when experiment #030, a.k.a. Sirona, escapes. In a desperate attempt to maintain their secret, Valkyrie hires a group of mercenaries led by Allen Cross to hunt down Sirona and capture her, whatever the cost. Upon finding Sirona, Cross is forced into a no win scenario, do the right thing or follow orders, both of which lead to dire consequences.",2023-09-05,['Science Fiction'],"['Ashlynn Hideman', 'Wesley Clark', 'Ben Johnson', 'Sarah Klaren', 'Shale Le Page']",100,United States of America,['Cranked Up Films']
