,title,description,release_date,genres,actors,duration,country,productions
304,The Threat Next Door,"Struggling to balance her demanding job and managing her daughter Daphne while separating from her husband, hospital researcher Maria enlists her friendly new neighbor, Eve, to babysit. But Maria soon learns that Eve has ulterior motives and will do everything she can to claim Daphne as her own.",2023-03-08,['Thriller'],"['Shiva Negar', 'Kimberly-Sue Murray', 'Bianca Sas', 'Johnathan Sousa', 'Amber Goldfarb']",83,Canada,['Vortex Productions']
305,The Pass,"Nina and Maurice, a married couple who give each other one night off from fidelity, the titular ""hall pass."" Their lives quickly turn upside down as the one night of pleasure becomes a tool of deception.",2023-08-27,['Drama'],"['Drew Sidora', 'Robert Christopher Riley', 'Erica Peeples', 'Kandi Burruss', 'Monyetta Shaw-Carter']",100,United States of America,"['Todd Tucker Productions', 'Kandi Koated Entertainment', 'Kandi Koated Entertainment']"
306,The Giants,"A portrait of environmental folk hero & gay icon Bob Brown, who took green politics to the center of power. His story is interwoven with the life cycle of the ancient trees he's fighting for.",2023-04-20,['Documentary'],"['Bob Brown', 'Bob Brown']",113,Australia,['Madman Entertainment']
307,Static Codes,"A man's wife was abducted by aliens ten years ago during a car accident which left him paralyzed from the waist down. Given up on life, he has become consumed with only one mission: finding his wife.",2023-06-01,"['Action', 'Science Fiction', 'Thriller']","['Taryn Manning', 'Augie Duke', 'Sadie Katz', 'Mike Ferguson', 'Jaime Zevallos']",88,United States of America,"['Lux Angeles Studios', 'Safier Entertainment']"
308,No Way Out,"Brian Nelson is a former attorney struggling to cope with life following a traumatic and tragic event. When drug dealer Anthony Santiago forces Brian to take on his double murder trial, Brian discovers that the case isn’t as black and white as it appears.",2023-03-29,"['Thriller', 'Action', 'Crime']","['Marques Houston', 'Casper Smart', 'Lyrica Anderson', 'Victoria Nuckles', 'Judi Johnson']",98,United States of America,['Footage Films']
309,Night of the Caregiver,"Hospice nurse Juliet is hired to be caregiver for Lillian, who lives in an isolated house in a remote area. Although she’s terminally ill, the elderly Lillian seems to be a cordial and sweet lady. However, as the night goes on, Juliet suspects someone else is also dwelling in the house causing her and Lillian to be in grave danger…",2022-06-30,['Horror'],"['Natalie Denise Sperl', 'Anna Oris', 'Eric Roberts', 'Joe Cornet', 'Eileen Dietz']",90,"Canada, ","['Hollywood Storm', 'San Rafael Production']"
310,Lyla,"A husband takes his family on a getaway to escape the distractions of society in order to complete his first book. While on the trip, he fights to retain focus and sanity after multiple visits from mysterious strangers who seem to know him all too well. When the husband is finally pushed to the edge of insanity, his wife's intentions come into question over a secret she is willing to do anything to protect.",2022-02-28,"['Thriller', 'Mystery']","['Clark Moore', 'Jolene Andersen', 'Mason Wells', 'Aion Boyd', 'Chloe Farnworth']",82,United States of America,"['Motion Picture Exchange', 'Tubi TV']"
311,Love Amongst the Stars,"Heidi, a professor of astronomy at a prestigious university, is convinced that a rare planetary alignment which occurs every couple thousand years is the key to getting an observatory for her students. But August, a hotshot archaeologist and the newest history professor, might be either the answer or the downfall of her research.",2022-01-25,"['TV Movie', 'Romance', 'Comedy', 'Family']","['Sara Canning', 'Patch May', 'Bruce Dawson', 'Leanne Lapp', 'Seth Isaac Johnson']",85,Canada,"['CMW Winter Productions', 'Reel One Entertainment', 'Champlain Media', 'Canadian Film or Video Production Tax Credit (CPTC)', 'Canadian Film or Video Production Tax Credit Fund (CPTC)']"
312,Kiss of a Rose,"After 300 years, a beauty is woken from a magical curse and marvels at the wonders of the new century. She falls in love with a famous architect restoring her former castle, but immediately finds that there are several enemies plotting against her and her new chance at a happy life. Edited from ""Sleeping Beauties"".",2023-04-02,['Romance'],"['Pristine Edge', 'Aria Alexander', 'Sarah Hunter', 'Ted Newsom', 'Andrew Espinoza Long']",39,United States of America,['Retromedia Entertainment']
313,Incarcerated,"After being incarcerated, a woman enacts an elaborate plan of revenge on the ruthless female drug lord responsible for her family’s demise.",2023-06-22,"['Crime', 'Thriller']","['Yesenia Ayala', 'Heather McComb', 'Elizabeth Haley', 'Rebekah Tripp', 'Jason Wiles']",98,United States of America,"['The Cartel', 'Cartel Pictures']"
314,Hypnotique,"A jaded psychiatrist, guarding a deadly secret, hypnotizes and programs her patients to brutally kill their partners when an implanted response triggers her murderous commands",2023-02-02,['Romance'],"['Alice Tate', 'Justin Berti', 'Jennifer Korbin', 'Pepper XO', 'Carter Cruise']",43,United States of America,['Full Moon Features']
315,Hidden Exposure,"A recently jilted dancer follows her ex-boyfriend to his new home, where she insinuates herself into his new relationship.",2023-05-23,"['Thriller', 'Drama']","['Liana Liberato', 'Rumer Willis', 'Richard Kind', 'Jordan Rodrigues', 'Stef Dawson']",89,United States of America,['Water Voices Productions']
316,Going Nowhere,"Izzy’s making a movie. She casts her best friend, Diana, who enthusiastically prepares for the shoot. A struggling actress, she clings to the hope that this leading role will turn her career around. 'The Seed', a feminist slash environmentalist magnum opus about a plant that saves the world starts shooting the next morning. Incompetence, paranoia and sexual frustration drive the crew to the brink of mutiny. Are they going to make it? Or are they all Going Nowhere?",2022-10-01,['Comedy'],"['Isabel Shill', 'Diana Irvine', 'Felipe Dieppa', 'Geoff Marslett', 'Alec Richker']",88,United States of America,[]
317,Famous,"Interracial brothers in the music business are opposites at life, love and sobriety. Featuring the music of rapper Friyie and the Supremes.",2023-05-09,"['Music', 'Drama']","['Farid Yazdani', 'Lovina Yavari', 'Patrick Kwok-Choon', 'Brendan Jeffers', 'Jas Dhanda']",70,Canada,['Street Relief Productions']
318,Captive,"A group of stoners break into a house for a weekend party, but realize all is not well after finding a mysterious stranger held captive in the basement.",2023-06-15,"['Horror', 'Thriller']","['Scout Taylor-Compton', 'Tasie Lawrence', 'Christina Robinson', 'Brendan Fehr', 'Katalina Parrish']",80,United States of America,[]
319,Alarmed,"When parents Janet and Sean leave for a much-needed weekend getaway, masked men bypass their high-tech home security system to hold their teen son hostage. Under threat of losing their son, the couple follow a series of cryptic instructions that land them at Janet's office with one final order: to kill her boss.",2023-02-17,['Thriller'],"['Pooch Hall', 'Brittany Baker', 'Eric Allan Kramer', 'Chris Whitcomb', 'Eric Lutes']",86,United States of America,"['Shadow Vale Productions', 'Marvista Entertainment', 'Tubi TV']"
